Code,Title,Date,Views,Text,Tags
6889,Зампредседателя совета по делам молодежи в науке: Наша система образования должна переосмыслить роль аспиранта,"23 Августа 2017, 13:40",7549,"Расскажите, вы ранее были знакомы с работой Координационного совета? В 2015 году я удостоилась премии президента и вошла в Товарищество лауреатов премии. Само товарищество – это часть Координационного совета, и в 2016 году, как лауреат премии, я была включена в состав совета. В 2017 году, будучи председателем товарищества, я стала заместителем председателя совета. Таким образом, у меня уже есть представление о задачах совета, как организована его деятельность, что мы можем делать, а что не можем. Какие же задачи решает совет? Координационный совет в своей работе стремится охватить широкий спектр задач, связанных прежде всего с улучшением условий для работы, развития карьеры молодежи в науке. Например, в прошлом году совет участвовал в разработке стратегии научно-технического развития России. На одном из этапов проработки стратегии НТР Координационный совет внес много полезных правок, которые затем вошли в итоговый вариант стратегии. Если говорить о работе именно в области молодежной политики в сфере науки и инноваций, то недавно совет принял участие в реализации соответствующих указов президента, которые были изданы в мае прошлого года. На их основании Российский научный фонд организовал несколько новых конкурсов для поддержки исследований молодых ученых и развития их карьеры. Члены совета были приглашены к обсуждению правил конкурса и скорректировали правила так, чтобы они соотносились с реалиями научной деятельности, чтобы были направлены на поддержку самых лучших молодых ученых, у которых есть выдающиеся результаты. В целом, работа совета основана на демократических принципах. Если у любого члена совета есть толковые идеи, то их обязательно услышат. Александра Калашникова Какие проблемы в науке вас больше всего беспокоят как ученого и как заместителя председателя совета? Проблем, на самом деле, много, но хотела бы отметить несколько, которые касаются именно молодых ученых. Сейчас проводится политика по изменению организации аспирантуры, процесса защиты кандидатских диссертаций. В целом, условия присуждения научных степеней ужесточаются, что, по моему мнению, пойдет на пользу российской науке. Но есть изменения, которые у меня вызывают сомнения в их целесообразности. Да, даже было предложение присваивать степень кандидата только за опубликованные в престижных научных журналах статьи, без защиты диссертации… Тут вопрос в том, как эти изменения будут реализованы. Например, если обсуждать проблему с защитой диссертаций, то, увы, не всегда диссертация – это показатель научного уровня соискателя. Здесь многое зависит от того, насколько члены аттестационной комиссии дорожат своей научной репутацией, насколько они хотят и способны оценить научную значимость защищаемой работы. Но я бы хотела отметить одну тенденцию, которая меня беспокоит. Создается впечатление, что Министерство образования и науки видит в аспирантах всего лишь чуть более взрослых студентов. Сейчас у них увеличивается нагрузка в виде учебных часов, обсуждается вопрос проведения дополнительных экзаменов и зачетов. Это, по-моему, неправильно. В нашей лаборатории, да и во многих лабораториях, с которыми я знакома, аспиранты – это основная рабочая сила, это уже не студенты, а самые настоящие научные сотрудники, которым просто нужны наставники. Они проводят много времени в лаборатории, на них лежит такая же ответственность, как и на старших коллегах. Поэтому наша система образования и науки должна пересмотреть роль аспиранта. Например, в Нидерландах, где я получала степень PhD, нет понятия «аспирант». Там есть понятие «научный сотрудник в обучении». Это человек, который уже работает и параллельно защищает диссертацию. И научная работа, выносимая на защиту. – это настоящая научная работа, без каких-либо скидок на то, что ее сделал молодой ученый. Что нужно сделать на практике, чтобы изменить статус аспиранта в России? Необходимо создать условия, чтобы аспиранты могли получать достойную оплату за их труд. Многие лаборатории делают это за счет грантов, и, возможно, это правильный путь. Также необходимо дать аспиранту те же социальные гарантии, что и у научных работников. Сейчас аспиранты, обучающиеся в бюджетной аспирантуре, получают стипендии в размере порядка шести тысяч рублей. То есть, как мы уже обсудили ранее, они фактически рассматриваются как студенты. Не стоит ожидать, что на таких условиях они смогут полноценно заниматься исследованиями, даже если захотят. В нашей группе, когда мы приглашаем нового аспиранта, то сразу же думаем, как мы сможем его поддерживать, чтобы он мог работать и нормально жить. Для этого мы используем средства из грантов, существенная часть которых идет как раз на фактические зарплаты аспирантам. Я считаю, что такая система должна быть формализована, чтобы это стало правилом для всех. Как решается проблема с зарплатами аспирантам в Нидерландах? Там система такая: большая часть позиций аспирантов – это позиции, привязанные к конкретным грантам. Эти позиции заранее прописываются научным руководителем, когда он подает заявки на получение финансирования. Таким образом, ученый не может взять себе в группу аспиранта просто так, если у него нет средств на оплату его труда. Мне кажется, это прозрачная и честная система. Да, количество аспирантов становится меньше, но четыре года аспирантуры для них превращаются в четыре года продуктивной научной работы. Я, конечно же, говорю о работе в области технических наук. В прошлом интервью вы говорили, что была проблема нехватки оборудования, и приходилось проводить исследования в коллаборации с зарубежными учеными на их оборудовании. Сейчас проблема решилась? Да, еще несколько лет назад было сложно закупать оборудование. Но ситуация меняется. Появился новый фонд – РНФ. Размер грантов в нем хорошо продуман, и если выдается трехлетний грант, то эта сумма позволяет провести хорошее полноценное исследование, купить оборудование, поддержать аспирантов. Мы ни в коем случае не отказываемся от сотрудничества с зарубежными коллегами, но теперь, я надеюсь, мы можем больше привнести в него со своей стороны. Лаборатория, где работает Александра Калашникова У многих есть опасения, что , когда завершится Проект 5-100, когда перестанут выдавать мегагранты, наука снова застопорится. Ведь наука – это надолго, нельзя за год-два провести исследование и сделать поворотное открытие… Да, научные исследования – это именно процесс. В процессе появляются новые задачи, корректируются текущие. И опасения, что скоро финансирование закончится, всегда есть. Так, в нашей лаборатории в период с 2013 по 2015 годы мы смогли существенно улучшить экспериментальную базу. По сути, именно сейчас у нас нет необходимости срочно закупать дорогостоящее оборудование. У нас есть задачи, мы их можем решать, для этого у нас есть необходимые люди. Но текущее обслуживание оборудования, закупка запчастей тоже требует финансирования, требует его и ежемесячная финансовая поддержка сотрудников. Если финансирование прекратится, то несколько лет лаборатории, конечно, проработают по инерции, но потом начнется упадок. Так было в 90-х годах. Был сделан огромный научный задел в середине и второй половине ХХ века, а потом начался резкий спад, когда было невозможно поддерживать лаборатории в рабочем состоянии и отслеживать тенденции в современной науке. Какие задачи сейчас решает ваша лаборатория? У нас есть фундаментальные задачи, причем постоянно появляются новые вопросы с точки зрения фундаментальной физики. Мы пока не занимаемся прикладными исследованиями, так как находимся не на той стадии. Но есть задачи, которые могут перерасти в прикладные, – например, управление состоянием сред с помощью фемтосекундных лазерных импульсов. Это очень перспективно в области записи информации. Насколько быстро мы сможем внедрить новые технологии, зависит от результатов, которые мы получим, а также от заинтересованности бизнеса. Защита выпускных квалификационных работ в Университете ИТМО А Координационный совет решает задачи, связанные с вовлечением индустрии в научные исследования? В прошлом году совет пытался определить проблемы, которые препятствуют развитию карьеры молодых ученых. Поднимался вопрос и о том, почему у нас так плохо налажено взаимодействие между учеными и бизнесом. Нужны компании, которые готовы инвестировать в долгосрочные проекты. Разработка новой технологии – это всегда дорого. Университеты могут сделать исследования до определенного уровня, но, когда наступает этап внедрения разработки, это требует больших инвестиций. Это могут себе позволить крупные компании, а есть ли такие в России? Пожалуй, в области нефтепереработки запрос на научные исследования есть. А вот высокотехнологичных компаний в стране не так много. В Нидерландах похожая ситуация с привлечением бизнеса в науку? Это всегда сложный вопрос. В Европе многие организации, которые выделяют гранты, приветствуют вовлечение в работу по гранту представителей малого, среднего, крупного бизнеса. Но вовлечение в исследования компаний также всегда связано с косвенными проблемами: кому будет принадлежать интеллектуальная собственность на разработку – университету или компании? Ни те, ни другие не хотят отдавать эти права. Или, например, должны ли фонды спонсировать разработки, проводимые в вузах для частных компаний? Но, в целом, во многих европейских странах вузам проще сотрудничать с бизнесом, потому что там есть высокотехнологичные компании-гиганты. Также хотелось задать вопрос по развитию молодых ученых в регионах. Да, в больших городах у ученых есть шансы развиваться. А как быть талантливым школьникам, студентам из маленьких городов? Ведь многие даже не понимают, что такое наука и как ей заниматься в России… Физико-технический институт им. А.Ф. Иоффе РАН Совет уделяет этой проблеме много внимания. Он участвует в работе центра для одаренных детей «Сириус», проводит молодежные форумы, но этого недостаточно. Кроме того, есть вопрос об эффективности мер по поиску талантливых ребят и их поддержки. Прорабатывалась такая идея: привлекать лауреатов премии президента, молодых ученых, к тому, чтобы они читали лекции о своих исследованиях и успехе в науке в школах, а также для студентов младших курсов. Но здесь тоже есть проблемы. Во-первых, это отнимает очень много времени. А во-вторых, читать лекции для школьников – это большое искусство. Это надо делать интересно и доступно. Но Координационный совет, безусловно, продолжит работу по развитию научного интереса среди подростков и молодежи в регионах. И напоследок, расскажите о новой магистерской программе «Фотоника диэлектриков и полупроводников», на которой вы будете преподавать. Это магистерская программа, организованная на базовой кафедре фотоники диэлектриков и полупроводников в рамках физико-технического факультета Университета ИТМО в сотрудничестве с ФТИ им. А.Ф. Иоффе. Читать лекции там будут преимущественно сотрудники ФТИ, активно работающие в науке. Это важно, так как студенты будут общаться с преподавателями, которые знают, что именно актуально в той или иной научной области. Мы также хотим, чтобы по программе обучающиеся хотя бы два дня в неделю полностью посвящали работе в лабораториях и участвовали в реальных проектах. Это новшество: часто у студентов не хватает времени на серьезную практическую работу. На первый набор поступили восемь ребят, окончивших бакалавриат в Политехническом университете им. Петра Великого, Санкт-Петербургском государственном университете, Университете ИТМО. К началу","Сириус, Главное, МН Фотоника, Молодые ученые, НТР, Аспиранты, Наука и образование, Координационный совет"
6879,Итоги приемной кампании-2017 в цифрах,"18 Августа 2017, 13:53",24388,"БАКАЛАВРИАТ Более 12 000 заявлений было подано в Университет ИТМО от абитуриентов, желающих поступить в вуз и обучаться на очной форме бакалавриата и специалитета за счет средств федерального бюджета. Итоги приемной кампании в бакалавриат и специалитет показали, что студентами вуза, поступившими на бюджет, к 8 августа (дата выхода последних приказов о зачислении студентов, которые будут обучаться за счет средств федерального бюджета по очной форме) стали 1214 человек. Из них 26 абитуриентов поступили по целевому приему от высокотехнологичных предприятий России со средним баллом 82,2 . Также среди общего числа поступивших 483 человека – обладатели аттестата с отличием.  Количество поступивших без вступительных испытаний (к таким относятся победители и призеры олимпиад, проводимых российским советом олимпиад школьников и всероссийских олимпиад), в 2017 году увеличилось почти вдвое и составило 384 человека (в прошлом году поступивших БВИ 198 человек). Большая часть поступивших в бакалавриат и специалитет Университета ИТМО ( 70% ) — иногородние юноши и девушки. Разброс по России обширен: зачисленные студенты прибыли из 83 регионов. Самый высокий проходной балл – на направление подготовки «Прикладная математика и информатика» : сюда поступают чемпионы с 309 баллами из 310 возможных (средний балл ЕГЭ на этом направлении составил 99,8). На втором месте – направление подготовки «Информационные системы и технологии» , где проходной балл составил 300 баллов, а средний балла за ЕГЭ – 99 . На некоторые направления подготовки бакалавриата и специалитета  средний балл результатов ЕГЭ вырос на 5-10 пунктов.  По направлению « Техническая физика » средний балл увеличился сразу на 10 пунктов и составил 94,7 (в 2016 – 84,5), по направлению « Биотехнология » средний балл вырос на 5,2 пунктов и составил 88,9 балла (в 2016 – 83,7), по направлению подготовки « Информатика и вычислительная техника » средний балл поступивших составил 91,2 , что превысило показатель прошлого года на 5 пунктов (в 2016 – 86,2). Самым популярным направлением в 2017 году стало направление подготовки «Прикладная информатика» .  Конкурс здесь составил 25,3 человек на место. Добавим, что в целом с каждым годом все больше абитуриентов, удачно сдавших единый государственный экзамен, борются за место в Университете ИТМО. По сравнению с 2016 годом средний балл ЕГЭ поступивших в 2017 году по одному предмету вырос на 3,1 пунктов и составил 90,0 (из 100 возможных). Обладателями специальных бонусов и стипендий от Университета ИТМО — «Золотого», «Серебряного» и «Бронзового» студенческих билетов — с 1 сентября 2017 года станет 577 студентов. Из них 232 человека получили «Золотой» билет, 187 – «Серебряный» и 158 человек стали обладателями «Бронзового» билета. Спортивные стипендии в этом году получат шесть человек. МАГИСТРАТУРА Число желающих поступить в магистратуру Университета ИТМО составило 7 257 человек, что превысило прошлогодний показатель на 1000 заявлений. Вместе с этим вырос и конкурс: 3845 абитуриентов подали заявления на поступление на 171 образовательную программу. Всего Университет ИТМО в 2017 году предоставил для магистрантов 2470 бюджетных мест по 37 направлениям подготовки. Конкурс по заявлениям составил 2,9 человек на место. Больше половины зачисленных в магистратуру ( 63,28 % ) окончили не Университет ИТМО, а другой вуз. Без вступительных испытаний, по конкурсу портфолио , в магистратуру Университета ИТМО поступил 221 абитуриент. Пользовалась успехом и возможность сдавать экзамены дистанционно, не приезжая в Санкт-Петербург: среди всех поступивших 32 человека были зачислены после вступительного испытания именно в таком формате. Самым популярным среди абитуриентов, нацеленных на поступление в магистратуру Университета ИТМО, стало направление подготовки «Менеджмент»: конкурс составил 8,26 человек на место. На одно бюджетное место на обучение по программе «Управление развитием города» – второе по востребованности направление подготовки «Градостроительство» – претендовали более семи абитуриентов (конкурс составил 7,2 человек на место). Также востребованы среди абитуриентов (конкурс свыше трех человек на место) такие направления подготовки, как «Технологические машины и оборудование», «Информационные системы и технологии», «Бизнес-информатика», «Энерго- и ресурсосберегающие процессы в химической технологии, нефтехимии и биотехнологии» и другие. АСПИРАНТУРА На высшую ступень обучения в Университете ИТМО было подано 650 заявлений, не считая тех, кто поступал в петербургский вуз по линии Министерства образования и науки РФ (программа «Россотрудничество»). Успешно прошли отбор порядка 330 человек: из них 270 – на бюджетную форму обучения, около 20 человек – по государственной линии и порядка 30 человек – на контрактное обучение. Более 80 поступающих из России и таких зарубежных стран, как Китай, Вьетнам, Мьянма, Египет, Алжир и другие, сдавали вступительные экзамены в дистанционной форме. В целом, на каждое направление подготовки конкурс превысил 1,5 человека на место. Среди наиболее востребованных направлений – «Информатика и вычислительная техника» и «Фотоника, приборостроение, оптические и биотехнические системы и технологии», а наиболее серьезный конкурс был на направления подготовки «Науки о земле» ( 3,5 человек на место), «Электро- и теплотехника» ( 3,6 человек на место) и «Экономика» ( 11 человек на место). Приказы о зачислении в аспирантуру будут опубликованы 1 сентября. Иностранные студенты Растет и число студентов из других стран. На программы бакалавриата и магистратуры по бюджетному, контрактному видам приема, а также по государственной линии принято порядка 640 человек ( 42% – в бакалавриат и 58% – в магистратуру). Также на сегодняшний день принято 165 обучающихся на подготовительное отделение Университета ИТМО, однако прием еще продолжится до 1 октября. Ожидается, что конечная цифра приема составит 200 человек. В этом году Университет ИТМО впервые провел олимпиады для набора иностранных абитуриентов (совместно с Министерством образования и науки). Призеры и победители олимпиады получили квоты на обучение в российских вузах  за счет средств Российской Федерации (по государственной линии). Так, в Университет ИТМО в этом году приедут обучаться 76 международных олимпиадников. Самыми популярными среди них стали направления подготовки «Прикладная математика и информатика», «Программная инженерия», «Информационные системы и технологии» и «Информационная безопасность». Всего вуз ожидает студентов–победителей международных олимпиад из 15 стран, среди которых Иран, Вьетнам, Индонезия, Монголия, Армения, Китай, Латвия, Белоруссия и другие. На англоязычные программы петербургского вуза поступили 25 иностранных студентов. Самой популярной образовательной программой на английском языке стала – Machine Learning and Data Analysis . Почувствовать себя полноценными студентами все поступившие в Университет ИТМО ребята смогут на ITMO.GO – масштабном празднике посвящения в ITMO.FAMILY первокурсников бакалавриата, магистратуры, аспирантуры и ФСПО. Программа торжества и другие подробности доступны по ссылке . К началу","Магистратура, Бакалавриат, Аспирантура, Главное, Приемная кампания, Поступление-2017, Итоги, Приказы о зачислении"
6877,«Большие пальцы» Университета ИТМО запустили гигантский бумажный самолетик на  Red Bull Flugtag,"17 Августа 2017, 11:35",8308,"Как все начиналось Решение принять участие в челлендже было принято спонтанно, рассказывает студент Богдан Дугалев . Он работал в приемной комиссии вуза, когда к нему пришел друг, сотрудник Red Bull в Санкт-Петербурге, и рассказал о «Флюгтаге». До окончания регистрации на конкурс оставалось всего несколько дней, но студенты Университета ИТМО загорелись идей, и команда для участия была собрана почти сразу же. « Нам хотелось поучаствовать ради веселья, но мы также хотели показать, что наш университет – крутой и современный! Не каждый вуз может похвастаться тем, что выступает на таки х мероприятия х », – пояснил Богдан. Студенты обратились за поддержкой в Департамент по стратегическим коммуникациям. Сотрудник отдела имиджевых мероприятий Александр Гостев предложил сделать летательный аппарат в виде бумажного самолетика, который будут запускать пять пальцев. А в роли пальцев должны выступить сами участники команды. « Мы за минимализм. Нужно было запустить самолет, вот мы и придумали сделать большой бумажный самолетик. Все банально и просто, но , тем не менее, никто до этого не додумался », – сказал Александр. Зарисовка идеи самолетика Университета ИТМО За два часа команда сделала чертеж будущего самолетика и отправила его на отборочный тур. На фестиваль поступает сотни заявок, из которых финалисты выбираются путем открытого голосования. В этом году в финал состязаний в Москве, которые состоялись 13 августа, прошли 42 команды с самыми безумными, веселыми и оригинальными проектами, среди которых была и команда Университета ИТМО «Большие пальцы». Создание летательного аппарата и подготовка к «взлету» Бумажный самолетик «складывали» во дворе здания вуза на Кронверкском проспекте. Ребята получили поддержку от университета и смогли закупить все необходимые материалы. По правилам «Флюгтаг» аппарат должен быть сделан из нетонущих и экологически чистых материалов, его вес не должен превышать 200 кг, а размеры – 10 на 10 метров. «Большие пальцы» решили сделать самолетик из древесины. « Сразу сделать самолетик и транспортировать его в целом виде не получилось бы из-за габаритов, поэтому мы довезли его до Москвы разобранным по частям. Строительством аппарата мы занимались полностью самостоятельно, использовали обычные гвозди и прочие строительные материалы. Точно так же мы сами делали и костюмы из поролона », – рассказал участник команды вуза, студент Федор Барбарин . Команда «Большие пальцы» Сначала «Большие пальцы» еще пытались как-то рассчитать аэродинамические параметры аппарата, но потом бросили это дело, поняв, что стоит делать акцент на креативности, ведь почти все конструкции участников «Флюгтага» падают в воду, едва сойдя со «взлетной полосы». По словам студентов, у них не было даже времени собрать самолетик и протестировать его функциональность до отъезда в Москву. Пока разобранный аппарат отправился в столицу автогрузом на специальной машине, сами участники провели ночь в автобусе, так как билетов на поезда уже не было. Прибыв на фестиваль, «Большие пальцы» зарегистрировались на стойке регистрации у стюардессы. Каждый участник команды получил свою должность, став авиатором, пилотом или механиком. « Все было выполнено в воздушной тематике, очень атмосферно. У нас даже были мини-аэропорты, а командам выдавались забавные стикеры с надписями типа “Ушел за запчастями для самолета” и так далее », – рассказывает Александр Гостев. Команда «Большие пальцы». Источник: социальные сети Только после регистрации ребята собрали свое устройство и буквально за пару часов до «взлета» убедились, что оно способно ехать, – конструкция надежна. Выступления участников Беспокоиться о надежности стоило! Не все аппараты на «Флюгтаг» удостаиваются чести хотя бы быть сброшенными с пирса. Так, авиаторы команды «Толкатели супрематизма» растолкали аппарат так сильно, что он развалился на части еще в воздухе. Команда «Естественный перебор», создав летающего динозавра и нарядившись в виде динозавров, чуть не промахнулась мимо рампы, и в результате их птеродактиль повис на хвосте с пирса, чуть не показав первый в истории Red Bull Flugtag отрицательный результат дальности полета. Но, похоже, для участников этот критерий был далеко не главным! « Если сравнивать с “Флюгтагами” в мире, нам показалось, что в России люди приезжают на фестиваль не чтобы выиграть, а чтобы просто повеселиться. В мире участники строят реальные летательные аппараты, с закрылками и всякое такое, и это стоит больших денег. У нас же упор делали на веселье, креатив, перформанс. В мире рекорд по дальности – больше 70 метров, а у нас в стране – 19 метров, это о чем-то говорит », – прокомментировал Богдан Дугалев. Команда «Естественный перебор». Источник: социальные сети Концепт соревнований подтверждает, что это, в первую очередь, фестиваль драйва и позитива. Так, жюри оценивает не только дальность полета, но и дизайн аппарата, а также представление, которое участники устраивают перед «взлетом». К тому же, если аппарат вдруг ломается, не едет по «взлетной полосе», то участники могут поднять его и сбросить в воду как камень. Если посмотреть запись «Флюгтага»-2017, то можно услышать, как ведущий говорит при очередном падении аппарата в воду сразу после старта: «Ну вот, все прошло, как обычно». Что только ни летело в воду! Гигантские втулки от туалетной бумаги, конверты «Почты России» верхом на улитке, космолеты, автомобили, драконы. Команда «Никита Сергеевич» и вовсе выстроила мини-квартал хрущевок, который уже при «взлете» превратился в летательный аппарат. Выступление «Больших пальцев» На шоу и «взлет» каждой команде отводилось по две минуты. По словам участников из Университета ИТМО, на пирсе время пронеслось незаметно. Сначала «пальцы» устроили небольшое азотное шоу, задымив «взлетную полосу». Пилот Эльдар Урманов , как самый легкий по весу участник команды, уселся на носу самолетика. Аппарат вместе с ним начали разгонять, чтобы сбросить в воду. « Наличие пилота – это правило соревнований. На самом деле, было немного страшно до подъема на пирс. А как только мы оказались на площадке, страх прошел. К тому же на фестивале было огромное количество спасателей, а в воде находились дайверы, которые , в случае если корабль накроет пилота, помогли бы ему. После полета, уже в воде, я должен был вытянуть руку – это значит, что со мной все в порядке. Когда я оказался на поверхности воды, то из-за костюма сначала не увидел неба, и было немного странно », – рассказал Эльдар. Самолетик Университета ИТМО не побил рекордов дальности, а просто упал в воду, как и почти все остальные аппараты. Но при этом он все равно пролетел шесть метров, получается, на каждый метр падения аппарат продвигался вперед на один метр (высота пирса была как раз шесть метров). Сразу за самолетиком и пилотом в воду прыгнули и остальные «пальцы». Полет бумажного самолетика « Это было не обязательно, но мы что, разве зря приехали на этот фестиваль? Я вообще боюсь высоты, и когда мы встали на краю, у меня даже сердце сильно колотилось. Кроме того, до этого я думал, что прыгать в этот грязный зеленый пруд мне совсем не хочется. Но из-за бешеной энергетик и на площадке и радости от того, что наш самолетик все-таки поплавал, все страхи ушли – мы прыгнули », – поделился эмоциями студент Илья Нефедов. Итоги Третье место на Red Bull Flugtag заняла команда «Носкоплан» из Жуковского, которая собрала биплан в виде носка из пеноблоков. Правда, при разгоне половина аппарата развалилась, но пилот смог поймать встречный ветер и пролететь целых 19 метров по небольшой дуге! Эта дистанция повторила российский рекорд дальности. Но жюри оценивало и креативность, и шоу. Так, второе место заняла команда «Экскадрон гусар летучих» из Твери, которые растопили сердца судей и зрителей костюмированным парадом перед «взлетом», а также формой своего аппарата в виде бутылки шампанского. И наконец, первое место заняли «летчики» из Санкт-Петербурга. Команда «Горячие братья» ярко выступили на шоу и представили на фестивале аппарат в виде пожарной машины, которая поразила всех своей детализацией. К слову, ребята участвовали во «Флюгтаге» уже в третий раз. Команда «Горячие братья». Источник: социальные сети Команде «Большие пальцы» посвятят часть документального фильма о Red Bull Flugtag, который покажут на канале «2Х2» в сентябре. В киноленте расскажут истории самых необычных команд фестиваля. Сюжет о команде Университета ИТМО будет рассказан в духе «Превращения» Франца Кафки , в котором герои, проснувшись, вдруг поймут, что они – пальцы. « Атмосфера на фестивале была очень дружелюбная, все друг другу помогали, люди общались, знакомились. Не было ощущения какой-то эксклюзивности: на соревнованиях собрались участники и с дорогими аппаратами, и со сделанными из подручных средств. Например, одни участники послали детали для своего аппарата самолетом “Почты России”. Детали, конечно же, не прибыли вовремя, и ребята на скорую руку смастерили летательный аппарат из картонных коробок. Было очень весело. В следующем “Флюгтаге” будем участвовать обязательно », – подытожил Александр Гостев. К началу","Фестиваль, Главное, МН Биотех, Флюгтаг, Большие пальцы, Самолет, Red Bull Flugtag"
