Code,Title,Date,Views,Text,Tags
13539,ИТМО снова в группе лидеров программы «Приоритет 2030»,"15 Декабря 2023, 10:59",23088,"Специфика формирования базовой части гранта изменена, теперь сумма будет ежегодно варьироваться в зависимости от числа обучающихся на Цифровой кафедре университета ― программе профессиональной переподготовки в рамках федерального проекта «Развитие кадрового потенциала ИТ-отрасли». Базовая часть гранта ИТМО на 2024 год составит 149,9 миллионов рублей. В рамках «Приоритета 2030» университет реализует Программу развития ИТМО 2030 ― « Университет открытого кода ». В нее входит комплекс стратегических проектов, направленных на ускорение научно-технологического прорыва, достижение высокого уровня технологической готовности, трансформацию учебного процесса, а также интеграцию бизнеса, науки и образования. Многие флагманские разработки в Программе связаны с развитием искусственного интеллекта, который интегрирован в весь научно-образовательный профиль вуза. «Приоритет 2030» позволяет опережающими темпами создавать условия для подготовки передовых кадров в сфере ИИ, внедрять ML-инструменты в научные, образовательные и административно-управленческие процессы, а также способствует формированию продуктового подхода и бизнес-мышления в среде преподавателей и студентов. «Искусственный интеллект — важнейший инструмент, который способен оказать принципиальное влияние на экономику и может в разы увеличить эффективность производственных, научных и образовательных процессов. Чем шире мы встраиваем ИИ в повседневную работу ИТМО и наших индустриальных партнеров, тем больше областей применения и перспектив развития мы находим. ""Приоритет 2030"" помогает ИТМО ежегодно поставлять на рынок 15% всех топовых специалистов в сфере ИИ, а также не просто наращивать темпы внедрения ИИ, но и постоянно поднимать планку сложности для ML-алгоритмов и предсказательных моделей», ― отметил ректор ИТМО Владимир Васильев . В 2023 году университет запустил для абитуриентов новый рекомендательный сервис ITMO TRACK , с помощью которого пользователь может подобрать образовательную программу бакалавриата с учетом желаемой профессии, зарплатных ожиданий и навыков, которые он хочет освоить во время обучения. При этом абитуриент сразу сможет увидеть весь подробный путь от поступления до диплома: в виде удобной инфографики сервис выстраивает индивидуальный учебный план на 4 года с дисциплинами, экзаменами и зачетами. ИИ помогает сделать правильный выбор не только в образовании, но и в медицине. Специалисты ИТМО с помощью машинного обучения научили цифровую систему «подбирать» наночастицы для борьбы с раком. Их используют для доставки лекарств к раковым клеткам — они уменьшают негативное действие препарата на здоровые клетки организма, увеличивают его растворимость и даже сами могут разрушать опухоль. С помощью генетического алгоритма разработка ИТМО генерирует наночастицы, которые помогают разрушать только раковые клетки без вреда для человека. Цифровая система ― не единственный проект университета в рамках «Приоритета 2030» на стыке науки и медицины. Ученые ИТМО также создали ИИ-сервис, который самостоятельно обрабатывает данные секвенирования микроорганизмов. Проект поможет ускорить изучение микробиоты человека. В ближайших планах — создание специальных модулей ИИ-сервиса для отдельных направлений медицины. Помимо этого, удалось получить результаты и в области экспресс-диагностики инфекций и заболеваний — команда ИТМО нашла потенциальную альтернативу ПЦР-тестам и тест-полоскам с помощью бинарных ДНК-наносенсоров. Их использование гарантирует качество тестирования, при этом значительно упрощает процедуру анализа. Подходящие ДНК-наносенсоры удалось подобрать благодаря искусственному интеллекту, обученному на ранее накопленных научных материалах. Уже сейчас ИИ помогает решать сложнейшие задачи, над которыми обычно работают сразу несколько специалистов. В 2023 году ученые ИТМО научили искусственный интеллект проектировать промышленные объекты и портовые сооружения в Арктике с учетом строительных норм, особенностей местности и суровых климатических условий. Технология не только сократит трудоемкость и сроки разработки проектов, но и позволит компаниям, которые участвуют в освоении Арктической зоны (включая шельф), создавать комплексные архитектурные решения, учитывающие особенности природной среды. Это стало возможным благодаря разработке специализированных ИИ-проектировщиков на базе технологии генеративного дизайна. С помощью искусственного интеллекта, компьютерного моделирования и больших данных можно за несколько минут сгенерировать план застройки новой территории или городской локации. Одна из главных задач ИТМО — создать доступную среду для использования искусственного интеллекта. В университете создали облачный сервис SMILE.Cloud , благодаря которому любой пользователь ― вне зависимости от его навыков в программировании ― может бесплатно создавать и проверять модели машинного обучения. Сервис способен построить модель в 3-5 раз быстрее человека и поможет решить задачу, даже если для работы не хватает данных. В 2021 году ИТМО вошел в число получателей базового гранта и специального гранта «Исследовательское лидерство» программы «Приоритет 2030». В 2022 году университет показал самый высокий результат среди всех участников исследовательского трека. Этому в том числе способствует трансформация ИТМО и развитие по модели научно-образовательной корпорации , которая формирует особую культуру: предпринимательское мышление, продуктовый подход, а также развитие экспертизы в новых областях науки и бизнеса. Дарья Козлова. Фото: ФГАНУ «Социоцентр» «Научно-образовательная корпорация — это не просто новые заказные научно-исследовательские работы или проекты с Big Tech. Мы в ИТМО видим это как новую форму работы с бизнесом: привлечение частных инвестиций, совместное создание сотрудниками ИТМО и инвесторами компаний, юрлиц. В этой системе главный “двигатель” развития — это Principal Investigaitor (PI), руководители исследований и разработок новой формации, которые берут ответственность за команду и результат в свои руки. Будущее ИТМО напрямую зависит от людей, которых мы привлекаем, которые инвестируют свое время и энергию», ― комментирует первый проректор ИТМО Дарья Козлова. Помимо прикладной науки, Программа развития ИТМО 2030 нацелена на обеспечение для студентов нулевой адаптации к будущему рабочему месту, а также на создание возможности самому построить свою траекторию обучения. Ознакомиться с презентацией ИТМО по итогам работы в рамках программы «Приоритет 2030» за 2023 год можно здесь . К началу","Научно-исследовательская работа, Гранты, Главное, Минобрнауки РФ, Приоритет-2030, ГлавноеMain2, ГлавноеTop, Исследовательское лидерство"
13543,Команда ИТМО завоевала «золото» ICPC Northern Eurasia Finals 2023,"13 Декабря 2023, 19:57",16894,"Студенты ИТМО Михаил Первеев , Захар Яковлев и Никита Голиков (команда SPb ITMO: pengzoo) решили 9 из 12 задач. Тренирует команду ИТМО Андрей Станкевич ― доцент факультета информационных технологий и программирования, воспитавший не одно поколение чемпионов ICPC. «Результатом довольны, контест прошел хорошо, единственное ― не успели в конце сдать задачу I на геометрию. Теперь осталось тренироваться и ждать предстоящие финалы», ― рассказал участник команды, студент Института прикладных компьютерных наук ИТМО Никита Голиков. От Университета ИТМО в этом сезоне олимпиады участвовали 5 команд: Cataleptodius, pengzoo, Bread for 14.5 rubles, I don't know, KTIS. Кубок абсолютных победителей ICPC Northern Eurasia в этом году получила команда МФТИ Yolki-palki ― они решили все 12 задач. Подробнее с результатами соревнования можно ознакомиться в таблице . Всего в финале Северной Евразии (ICPC Northern Eurasia Finals ― NEF) сразились 324 команды ― соревнования проходили одновременно в Санкт-Петербурге, Новосибирске, Астане и Кутаиси. Самой большой площадкой стал MTC Live Hall в Петербурге ― он принял 152 команды студентов. Организатором региональных этапов выступило официальное представительство ICPC в Северном Евразийском регионе, созданное на базе Университета ИТМО (ICPC NERC HQ). ICPC Northern Eurasia Finals 2023 в Петербурге. Фото: NERCNews По итогам соревнований определились 12 команд, которые представят свои университеты в финале ICPC от Северной Евразии: MIPT: Yolki-palki (МФТИ) HSE: Youthful Passion Fruit (Высшая школа экономики) SPb ITMO: pengzoo (ИТМО) SPb SU: block of cats (СПбГУ) Belarusian SU: 1: Last hope (Белорусский государственный университет) AITU (Astana IT U): jaujurek 3 bala (Astana IT University) Yerevan SU: SD3 (Ереванский государственный университет) MAI: 1 (МАИ) Belarusian SUIR (Informatics & Radioelectronics): 1: So Stuffy (БГУИР) Novosibirsk SU: 1: Avdim last hope (Новосибирский государственный университет) Skoltech: Caravella (Сколтех) Tbilisi SU: Darwin Nunez (Тбилисский государственный университет) ICPC (International Collegiate Programming Contest) — крупнейший и самый престижный в мире чемпионат по спортивному программированию. Соревнование проводится более 40 лет и каждый год привлекает десятки тысяч студентов по всему миру. Например, в прошлом сезоне только на отборочных соревнованиях Северного Евразийского региона приняли участие более 2300 студенческих команд. По правилам, в контесте могут участвовать команды из трех студентов. Их задача ― за 5 часов решить 12 задач разной сложности. В их основе лежат реальные проблемы, например, оптимизация расписаний метрополитена, моделирование управления воздушным движением, оптимизация размещения ограждений, отслеживание движений роботов, составление гоночных трасс, моделирование сбора багажа в аэропорту, оценка запасов нефти и газа и другие. В России интерес к движению появился в середине 90-х, когда к участию в региональных европейских соревнованиях пригласили команды ИТМО, СПбГУ и МГУ. С тех пор студенты ИТМО становились абсолютными чемпионами мира семь раз ― этот успех не удалось повторить ни одному университету. К началу","Главное, Спортивное программирование, ICPC, ГлавноеBottom, Northern Eurasia Finals, NEF"
13538,Команда ИТМО — чемпионы России по информационной безопасности,"11 Декабря 2023, 15:12",17576,"Чемпионат проходил в несколько этапов. В онлайн-отборе с 31 октября по 5 ноября состязались 162 команды. В очный финал прошли только 38, которые лучше справились с заданиями по программированию, обратной разработке и другим направлениям практико-ориентированной кибербезопасности. Спортсмены соревновались в трех дисциплинах: программирование алгоритмическое, программирование продуктовое и программирование систем информационной безопасности. Лучшей в дисциплине «программирование систем информационной безопасности» стала команда из ИТМО. В ее состав вошли выпускник, доцент, студенты бакалавриата и магистратуры факультета безопасности информационных технологий: Артем Павлов, Александр Менщиков, Артем Насонов, Георгий Геннадьев, Никита Челноков, Герман Риттер и Дмитрий Сибирцев. Всего за лидерство в рамках этой дисциплины боролись 10 команд из разных регионов. Участникам нужно было на скорость решить восемь заданий: например, написать или улучшить специальный код для перебора вариантов, разработать новое программное решение. Команда из ИТМО набрала 761 балл за семь из восьми решенных заданий. Это на 113 баллов больше, чем команда из Татарстана, и на 117 — чем команда из Москвы. Тройка лидеров разделила призовой фонд в размере более 1 миллиона рублей. «Наш факультет уже не первый год — один из лидеров в подготовке высококвалифицированных специалистов по информационной безопасности. Также благодаря нам было создано профессиональное сообщество, которое выходит далеко за рамки университета. Мы организуем всероссийские и международные соревнования CTF и олимпиады, у нас есть CTF-клуб. Причем и для школьников, и студентов, и профессионалов. Такой комплексный подход — фундамент наших побед и достижений» , – отметил Данил Заколдаев , декан факультета безопасности информационных технологий ИТМО. К началу","Программирование, Главное, Спортивное программирование, CTF, ГлавноеBottom, Чемпионат России"
13516,РФПИ и ИТМО создадут международную платформу услуг и сервисов на базе искусственного интеллекта,"24 Ноября 2023, 11:32",22329,"Компании в различных секторах используют технологии AIaaS для оптимизации рабочих процессов, предоставления улучшенных продуктов и услуг путем применения прогнозной аналитики, систем распознавания изображений и речи, специальных ботов и так далее. AIaaS предоставляет бизнесу доступ к широким возможностям и инструментам искусственного интеллекта без необходимости наличия собственной инфраструктуры или компетенций в этой сфере. Платформа существенно уменьшит стоимость внедрения решений на базе ИИ и сделает их более доступными. Кроме того, она станет одной из ведущих площадок по развитию сервисов и алгоритмов машинного обучения в области ИИ, а также позволит осуществлять масштабирование российских разработок на международные рынки. «Технологическое развитие является одним из ключевых приоритетов инвестиционной стратегии РФПИ: Фонд активно инвестирует в перспективные проекты на базе ИИ, помогая полностью реализовать их потенциал. Применение ИИ охватывает большой спектр отраслей российской экономики, включая, помимо IT-сегмента, также образование, здравоохранение, транспорт, торговлю, энергетику и др. Новые высокотехнологичные продукты и сервисы на основе ИИ все более востребованы не только со стороны лидеров рынка, но и небольших компаний, малого и среднего бизнеса. Создание Платформы совместно с Университетом ИТМО внесет значимый вклад в укрепление научно-технологического суверенитета РФ, развитие собственных компетенций в сфере высоких технологий, даст возможность российским разработкам удовлетворить потребности внутреннего рынка и успешно расти в глобальном масштабе» , ― прокомментировал Кирилл Дмитриев , генеральный директор Российского фонда прямых инвестиций (РФПИ) Александр Бухановский. Фото: Дмитрий Григорьев / ITMO.NEWS «ИТМО ― национальный исследовательский университет, где образовательная повестка определяется в первую очередь научной деятельностью. В рамках федерального проекта ""Искусственный интеллект 2» в ИТМО основан исследовательский центр ""Сильный искусственный интеллект в промышленности"". Также в университете работает Центр компетенций национальной технологической инициативы по направлению ""Технологии машинного обучения и когнитивные технологии"". Кроме того, ИТМО объединяет научную экспертизу с широкой сетью индустриальных партнеров в сфере ИИ ― это делает квалификацию специалистов ИТМО уникальной и продуктоориентированной» , ― отметил Александр Бухановский , директор мегафакультета трансляционных информационных технологий ИТМО РФПИ обладает обширным опытом привлечения инвестиций для развития российских проектов в сфере ИИ, а также широкой сетью международных партнеров и выступает в роли одного из ключевых институтов развития ИИ в России. Фонд принимал активное участие в разработке Национальной стратегии по развитию ИИ и Федерального проекта «Искусственный интеллект», активно содействует внедрению ИИ в российских компаниях, созданию соответствующей инфраструктуры, выводу перспективных российских технологий и продуктов на глобальный рынок. РФПИ входит в Альянс по развитию ИИ, объединяющий компании-лидеры в данной сфере, координирует привлечение инвестиций и активно участвует в других направлениях деятельности Альянса. Искусственный интеллект ― фундамент для всего научно-образовательного профиля ИТМО: от химии, геномики и биотехнологий до робототехники, урбанистики и метаматериалов. Использование технологий ИИ позволяет опережающими темпами создавать условия для подготовки передовых кадров, внедрять ML-инструменты во все процессы, а также способствует формированию продуктового подхода и бизнес-мышления в среде преподавателей и студентов. Редакция ИТМО К началу","Искусственный интеллект, ИИ, Главное, ГлавноеBottom, РФПИ"
13514,ИТМО готовит лучших специалистов по искусственному интеллекту,"23 Ноября 2023, 13:43",60523,"При составлении рейтинга комплексно учитывались достижения университетов в сфере ИИ:  востребованность выпускников, качество образовательных программ, активность по развитию школьного образования, узнаваемость в профессиональном сообществе. Аналитическая база основана на информации из открытых источников, результатах опросов и данных, полученных от Министерства науки и высшего образования РФ. «Лидерство в рейтинге ― это результат устойчивой и разносторонней работы ИТМО в сфере ИИ за последние 10 лет. Передовые центры и лаборатории с научным подходом к развитию ИИ коллаборируют с широкой сетью индустриальных партнеров. Благодаря этому выпускники ИТМО не просто владеют фундаментальными знаниями и необходимыми навыками ― они понимают “боли” рынка и умеют находить нетривиальные решения. Рейтинг ― своего рода знак качества для абитуриентов и подтверждение высокого уровня нашей экспертизы для бизнеса», ― комментирует ректор ИТМО Владимир Васильев . Искусственный интеллект ― фундамент для всего научно-образовательного профиля ИТМО: от химии, геномики и биотехнологий до робототехники, урбанистики и метаматериалов. Использование технологий ИИ позволяет опережающими темпами создавать условия для подготовки передовых кадров, внедрять ML-инструменты во все процессы, а также способствует формированию продуктового подхода и бизнес-мышления в среде преподавателей и студентов. В ИТМО в рамках федерального проекта «Искусственный интеллект» основан исследовательский центр « Сильный искусственный интеллект в промышленности ». Основное направление работы Центра связано с имитацией машиной креативной умственной деятельности специалиста: например, конструктора, проектировщика, технолога, управленца. Совместно с ПАО «Газпром нефть» центр создает систему поддержки принятия решений по планированию разработки месторождений природных ресурсов. Другие совместные с ПАО «Газпром нефть» исследования решают задачи в сфере автоматического проектирования и эксплуатации объектов и сооружений в условиях российской Арктики, а также оптимизации организационных и бизнес-процессов. В 2022 году Альянс в сфере искусственного интеллекта аккредитовал четыре образовательные программы университетов, две из которых реализованы на базе ИТМО: магистратура « Большие данные и машинное обучение » и программа дополнительного профессионального образования « Большие данные и машинное обучение для службы квалифицированного заказчика ». К началу","Искусственный интеллект, Главное, Рейтинги, Университеты, ГлавноеMain1, ГлавноеTop"
13513,Зачем корпорации идут в вузы и создают собственные университеты?,"23 Ноября 2023, 12:45",14133,"Один из главных вызовов сегодня, с которым сталкиваются и компании, и классические университеты ― дефицит кадров. По разным оценкам, сейчас в стране не хватает до миллиона IT-специалистов. Причем, как подчеркнула, открывая конференцию, Дарья Козлова, конкуренция ведется не только за классических айтишников ― нужны специалисты, которые владеют принципиально новым стеком технологий, умеют работать на стыке направлений. Например, быть специалистом в медицине и уметь применять IT-инструментарий для решения задач в своей области. Конкуренция смещается в сторону интердисциплинарной подготовки. Где брать таких специалистов и как их готовить? Очевидное решение ― усиливать партнерство с университетами и расширять собственные образовательные программы. Как это уже происходит сейчас? И как сделать этот процесс эффективнее? Дарья Козлова. Фото: Яндекс / yace.yandex.ru Только найм? Зачем вузы компаниям Крупнейшие ИТ-компании всё чаще приходят в вузы — и это общемировой тренд. Например, в ИТМО развивается целый ряд корпоративных образовательных программ: совместные магистратуры со Сбером , Яндексом , VK и Napoleon IT . Вместе с компаниями проводятся олимпиады и хакатоны для школьников и студентов. Прочитайте также: Магистерские программы с Яндексом и VK ― самые популярные в ИТМО Кажется, что бизнес преследует лишь утилитарные цели — подготовить для себя кадры и облегчить процесс найма. Но только ли для этого компании приходят в вузы и в сферу образования в целом? По словам заместителя вице-президента по образовательным проектам VK Анны Степановой, бизнес, который занимается образованием, должен осознавать свою ответственность перед аудиторией ― и именно на этом строится сильный бренд. Сейчас VK не только постоянно расширяет сотрудничество с университетами и партнерство с академическими программами, но и увеличивает количество сервисов в некоммерческом блоке VK Education. Например, запустила проект «Урок цифры» для школьников, а также организует профориентационные мероприятия и тесты, олимпиады и хакатоны. «Ответственность образовательного бренда, которую несет бизнес, это совсем не только про найм и подготовку кадров под себя. Это гораздо шире, а найм — это, скорее классное последствие той воронки, которая формируется из всех наших активностей. Образовательная ответственность заключается в том числе в том, чтобы сопроводить школьников в их школьном пути или студентов в их студенческой жизни, быть интегрированы в эти процессы. Конечно, там, где мы это можем», ― рассказала Анна Степанова. Еще один пример социальной ответственности образовательных брендов ― вклад в развитие регионов. Как отмечает исполнительный директор дирекции академических партнерств Сбера Ольга Цуканова, Сбер активно участвует в программах по региональному развитию. Недавно компания открыла своё представительство в Дальневосточном федеральном университете и запустила образовательную программу по предпринимательству. При этом, как подчеркивает представитель компании, цель проекта ― не перетянуть выпускников в Москву, а готовить тех, кто будет развиваться именно в своем регионе. Не конкуренция, а еще один шанс: зачем компаниям собственные университеты Бурное развитие онлайн-курсов от EdTech- и ИТ-компаний уже несколько лет ставит под вопрос в принципе необходимость высшего образования. Но корпорации идут дальше и запускают не только отдельные курсы, но и собственные университеты. Например, в 2023 году «Тинькофф» открыл «Центральный университет» и уже набрал первых магистрантов на программы по аналитике, машинному обучению и продакт-менеджменту. А в следующем году планируется набор уже в бакалавриат. Зачем крупной компании свое полноценное учебное заведение? Как объясняет Иван Стельмах, CPO Центрального университета, цель «Тинькофф» — не конкурировать с вузами, а дать больше возможностей для проактивных школьников и студентов, которые не смогли пройти жесткий отбор в топовые учебные заведения: «Мы видим серьёзный пробел: пул талантливых ребят шире, чем те, кто может поступить в топовый вуз. Например, я сам сдал ЕГЭ всего на 260 баллов — и этого недостаточно, чтобы поступить на действительно хорошие программы. Но помимо ЕГЭ есть другие индикаторы таланта — именно их мы используем при наборе студентов и выделении грантов на обучение. Наша цель — дать возможность тем, кто по тем или иным причинам плохо сдал ЕГЭ». Фото: Яндекс / yace.yandex.ru Что делать в этих условиях классическим университетам? Если преследовать только одну цель — получить определенный перечень навыков для дальнейшего трудоустройства, то некоторым вполне хватит и онлайн-курсов. Но вуз учит не только практическим навыкам — и это понимают все потенциальные наниматели, отмечает директор Института общественных стратегий Московской школы управления Сколково, научный руководитель программы Приоритет 2030 Андрей Волков. Фундаментальное образование, общая грамотность, кругозор, навыки критического и абстрактного мышления, те же гибкие навыки — давать всё это не входит в задачи корпораций. Между тем, именно недостаток общего образования может стать серьёзной помехой в карьерном пути. По словам Андрея Волкова, в активном включении корпораций в процесс обучения нет никакой угрозы, но вузам в таких условиях необходимо пересматривать свои образовательные задачи: «Бизнес не учит всему, он решает свою бизнесовую задачу — довести человека до того, чтобы он начал приносить добавочную стоимость. Компании не должны давать ему фундаментальные знания и навыки критического мышления — это всё дело учебных заведений. Поэтому я не вижу никакой угрозы, наоборот, считаю это очень позитивным трендом. Но если университеты будут и дальше цепляться за то, чтобы готовить специалистов под рабочие места, они проиграют гонку за лидерство», ― отметил он, отвечая на вопросы ведущих YAC/e. Заказчик или равноправный партнер: каким должно быть идеальное сотрудничество вуза и компании? Тогда как должен строиться идеальный союз бизнеса и университета, который принесет максимальную пользу обеим сторонам? Спикеры конференции соглашаются, что еще несколько лет назад сотрудничество вузов и компаний действительно напоминало отношения заказчика и исполнителя, но сейчас это уже исчезающая практика. Чем дольше компании сотрудничают с вузами, тем больше понимают внутриуниверситетские процессы и психологию преподавателей. И это даёт возможность синхронизироваться — в том числе с управленческими командами: «С одной стороны, мы стараемся делиться тем, что знаем — в самом широком смысле. У Сбера существует Летняя цифровая школа для преподавателей — в этом году на ней отучилось 1600 человек. Но мы также стали лучше понимать, как работают управленческие команды, и мы доверяем им принимать стратегические и операционные решения», — добавляет Ольга Цуканова. Андрей Волков. Фото: Яндекс / yace.yandex.ru Андрей Волков заключает: отношения бизнеса и университетов должны перейти из разряда «любви и дружбы» в более институционализированную форму — на уровень Советов директоров. Такая практика уже начинает складываться в мире, в частности, в китайских вузах. При этом задача таких советов директоров — не вмешиваться в операционные процессы, а развивать совместную стратегию и принимать ключевые решения в области знаний и технологий. Прочитайте также: Новый статус PI, стажировки преподавателей в компаниях, модели партнерства с бизнесом — самое интересное с наблюдательного совета ИТМО Yet another Conference ( YAC/e ) — большая онлайн-конференция Яндекса о людях и технологиях в образовании. В этом году событие включало несколько секций ― для родителей, педагогов школ и университетов, представителей университетов и EdTech-компаний. Посмотреть конференцию можно на YouTube канале Яндекса. К началу","Яндекс, EdTech, Главное, Высшее образование, VK, Сбер, Тинькофф, ГлавноеBottom, YAC/e"
13497,Российские команды заняли все призовые места на международных киберсоревнованиях BRICS+CTF,"13 Ноября 2023, 13:53",14173,"CTF (Capture The Flag, или «Захват флага») — это соревнования по кибербезопасности, на которых участники решают задачи в области криптографии, обратной разработки, веб-уязвимостей, сетевой безопасности и цифровой криминалистики. BRICS+CTF — самое масштабное соревнование по кибербезопасности в России по количеству участников. В этом году на турнире выступили около 4000 человек из более чем 90 стран: Германии, Франции, Соединенного Королевства, Аргентины, Финляндии и других. «Лидеры стран BRICS назвали кибербезопасность одним из главных вызовов современности, а потому важно развивать международное сотрудничество в этой области. Программа соревнований BRICS+CTF нацелена на создание кадрового “щита”, который поможет обеспечивать информационную безопасность РФ, стран BRICS и BRICS+. Другая цель турнира — установить и развить профессиональные и научные связи между специалистами России и стран BRICS», — рассказал один из организаторов соревнований, доцент факультета безопасности информационных технологий ИТМО Александр Менщиков . Мастер-класс Александра Менщикова по CTF-соревнованиям на форуме «Тебе решать!» в ИТМО. Фото: Дмитрий Григорьев / ITMO.NEWS Первый тур соревнований проходил онлайн в формате CTF Jeopardy, который подразумевает решения задач из разных областей безопасности: криптография, безопасность веб и сетей, защита операционных систем, обратная разработка и другие. По итогам первого тура лучшие команды соревновались в финале онлайн в формате Attack-Defence: искали уязвимости на своих сервисах и устраняли их, а также атаковали уязвимости на сервисах соперников, чтобы получить их флаги. У каждой задачи была цель — например, найти уязвимость и извлечь пароль администратора из базы данных сайта. После решения задачи команда получает флаг — некую секретную строку кода. На сайте специальной проверяющей системы команда сдает флаг в обмен на баллы. Та команда, что набрала наибольшее количество баллов, побеждает. Призовой фонд турнира составил 10 тысяч долларов: $5000 за 1 место, $3000 за 2 место и $2000 за 3 место. Первое место заняла команда Bushwhackers, второе и третье — SPRUSH и kks соответственно. Организаторы соревнований — факультет информационной безопасности ИТМО и приглашенные эксперты в области кибербезопасности. Партнерами выступили межрегиональная общественная организация «Ассоциация руководителей служб информационной безопасности», Всероссийское общественное движение наставников детей и молодежи «Наставники России», а также Международная платформа BRICS+. Финал был приурочен к V Международному муниципальному форуму БРИКС+. Идея BRICS+CTF возникла в 2018 году по результатам встречи сетевого университета BRICS, в котором приняли участие вузы Бразилии, Китая, ЮАР, Индии и России. Первые международные CTF-соревнования для стран BRICS в ИТМО состоялись в 2019 году. Турнир прошел в два этапа: первый в онлайне объединил более 1100 команд, а до очного финала дошла 21 команда. К началу","BRICS, Главное, CTF, Международные соревнования, Информационная и кибербезопасность, ГлавноеBottom, BRICS+CTF"
13489,Ведущие российские университеты и EdTech-компании объявили о создании Содружества онлайн-высшего образования,"3 Ноября 2023, 17:43",12470,"В пандемию российские университеты были вынуждены перевести образовательный процесс в онлайн-формат, и здесь они столкнулись с рядом вызовов. В каком формате вести дисциплину, чтобы студенты смотрели лекцию до конца, а не скрывались за черными квадратами видеоконференции? Что делать с лабораторными работами, где важно присутствовать очно? Как объединить на занятиях студентов, которые живут в разных уголках страны? В свою очередь, EdTech-компании борются с несерьезным отношением к себе, отметили представители Нетологии, Skillfactory и Skillbox. В обществе до сих пор популярно мнение, что онлайн-обучение — это некачественно подготовленные курсы, где в сжатый срок готовят недостаточно компетентных специалистов, которые потом не могут трудоустроиться. По мнению первого проректора ИТМО Дарьи Козловой, плюсы и ограничения есть как у фундаментального классического образования, так и у современных образовательных технологий. Поэтому в рамках содружества обеим сторонам важно делиться методологией и опытом организации учебного процесса и на базе общих ценностей создавать лучшие образовательные программы. «Оптимальное решение и точка роста — в комбинации разных подходов. Именно на пересечении лучших практик должны создаваться новые программы, на которые будет спрос у студентов и которые будут формировать действительно востребованные бизнесом профессиональные и мягкие навыки» , – отметила Дарья Козлова . Дарья Козлова. Фото: Дмитрий Григорьев / ITMO.NEWS Перевести в онлайн-формат все образовательные программы не получится, отметили эксперты в ходе митапа. Это связано с тем, что на прикладных и научных направлениях от студентов требуется очное присутствие — например, во время лабораторных работ на физических и химических установках или практики в медицинских вузах. При этом многие образовательные направления уже успешно реализуются в онлайне. Сейчас в ИТМО открыты семь онлайн-магистратур. На них студенты могут обучаться из любой точки мира — от IT и инженерии до химии и продуктового дизайна. Многие программы поддерживается крупными партнерами — например, Нетологией, Яндексом и Napoleon IT. И качество образования не страдает, студенты получают фундаментальную академическую подготовку, системное мышление, а также актуальные знания и навыки, востребованные в индустрии. «Содружество — это не поглощение университетов EdTech-компаниями или наоборот, а сонаправленное движение, возможность заявить о готовности принимать нестандартные решения. В ИТМО мы стараемся сделать реальными инициативы, которые “созревают” у общества и наших партнеров, и добавить ценности образованию. Сейчас образование делится на общее, среднее и высшее. Но, возможно, в будущем это ограничение исчезнет, и будет неважно, где люди получают компетенции — в университете или EdTech-компании» , – подчеркнула начальник управления качества образовательного процесса ИТМО Ольга Елисеева . Ольга Елисеева. Фото: ITMO.NEWS Среди задач, которыми будет заниматься содружество, — создание и поддержка высоких стандартов качества образовательных онлайн-программ, а также внедрение лучших трендов на рынок высшего образования. Для этого участники содружества планируют разрабатывать ежеквартальные дайджесты, проводить исследования, анализ и систематизацию объемов рынка высшего образования, а также организовать круглые столы и онлайн-встречи для обмена опытом и экспертизой. Посмотреть запись дискуссии можно по ссылке . К началу","Магистратура, Яндекс, Онлайн-образование, Главное, ГлавноеBottom, Нетология"
13486,В России появился первый агрегатор культурно-творческих площадок: он будет доступен для всех,"3 Ноября 2023, 14:08",20460,"Агрегатор позволяет не просто ознакомиться со всеми творческими площадками Москвы. Алгоритм поиска, ориентируясь на задачи пользователя, также упрощает выбор студии, пространства или лофта с помощью тегов. Его главная особенность — универсальный экспорт бронирования. Представителям площадки не нужно вручную переносить данные о бронировании в свою CRM-систему — агрегатор настроен на «экспорт» и «импорт» данных в любой другой популярный календарь. «При разработке мы уделили особое внимание возможности гибкой настройки пространств, интеллектуальному поиску и понятной функциональной системе бронирований, чтобы всем участникам платформы, начиная от анонимного пользователя и заканчивая администратором, было комфортно работать с ней. Мы уже разработали концепцию PWA и VK Mini Apps приложения и в будущем планируем выпускать его в продакшн» , – отметил Даниил Меренков , руководитель группы научно-технического развития ИТМО и один из авторов проекта. Даниил Меренков. Фото из личного архива автора Платформа доступна для всех, но для доступа к полному функционалу пользователю необходимо зарегистрироваться. В свою очередь, администраторы проверяют каждую площадку и следят за актуальностью информации. В ближайших обновлениях в агрегатор добавится функция «умного поиска», который трансформирует текст в четкие команды для базы данных. Условно, пользователь может ввести предложение или словосочетание без дополнительных тегов, например «выпить кофе и пофотографироваться», и агрегатор выдаст список мест, подходящих под запрос. «Всего была 21 задача, и мы выбрали первую — от Агентства креативных индустрий — как самую интересную. Мы всегда хотели создать агрегатор — такие технологии облегчают жизнь людям и их удобно развивать. Уже во время питчинга жюри отмечали наш продукт и нас как сильную команду — после победы связались с нами уже на следующий день и сказали, что хотят запустить пилотный проект», – поделился Даниил Меренков . К началу","Главное, Креативная индустрия, Креативные пространства, Цифровая трансформация, ГлавноеBottom"
